id,orden_id,cliente_id,producto_id,calificacion,fecha,texto
543,22,29,69,3,2024-03-14,"La camara instantanea llego a tiempo, el empaque estaba en buen estado aunque algo genérico para un producto de regalo."
506,21,76,88,4,2026-04-14,El disco WD Blue no ha dado ningun problema desde que lo instale.
482,21,76,28,5,2025-03-28,El parlante Marshall se conecto por bluetooth sin ningun inconveniente desde el primer intento.
458,21,76,58,3,2024-03-10,El Amazfit GTS 4 Mini llego con un dia de retraso frente a la fecha estimada.
517,18,24,25,4,2024-03-03,"El JBL Charge 5 llego bien empacado, solo con un dia de retraso frente a la fecha estimada original. El equipo en si llego en perfecto estado."
542,17,45,14,2,2024-02-27,La laptop HP llego con un dia de retraso adicional despues de que el courier reprogramara la entrega sin avisarme primero.
505,16,1,33,5,2026-03-29,"El Sony Bravia sigue con una imagen impecable, definitivamente repetiria la compra."
481,16,1,63,4,2025-03-12,La Canon Rebel fue sencilla de configurar siguiendo el manual incluido.
457,16,1,3,5,2024-02-23,El Galaxy S24 Ultra llego perfectamente sellado y con todos los accesorios originales.
516,13,25,60,3,2024-02-16,El Huawei Watch GT 4 llego a tiempo pero sin el cable de carga dentro de la caja. Tuve que reclamar por separado para que me lo enviaran.
541,12,119,49,3,2024-02-12,Los audifonos SteelSeries llegaron completos aunque el seguimiento del envio se quedo congelado por dos dias sin actualizarse.
504,11,93,68,4,2026-03-13,La Nikon Z50 cumplio todas mis expectativas para fotografia de viajes.
480,11,93,8,3,2025-02-24,El Moto G84 necesito varias actualizaciones antes de poder usarlo con normalidad.
456,11,93,38,5,2024-02-07,"El Xiaomi TV A Pro llego antes de lo estimado, muy buena coordinacion de envio."
515,8,15,5,1,2024-01-31,El Redmi Note 13 Pro llego con la caja visiblemente aplastada y un golpe en una esquina de la pantalla. Tuve que iniciar un proceso de cambio que tardo mas de una semana en resolverse.
540,7,120,84,1,2024-01-27,El SSD Kingston llego sin el tornillo de montaje que se menciona en la descripcion. Tuve que comprar uno aparte en una ferreteria para poder instalarlo.
503,6,21,13,5,2026-02-25,La Dell XPS 13 sigue funcionando perfecta despues de varios meses de uso intensivo.
479,6,21,43,5,2025-02-08,"La Xbox se actualizo sola apenas la conecte a internet, lista para jugar en poco tiempo."
455,6,21,73,4,2024-01-22,"El robot Xiaomi X10+ llego a tiempo, aunque la caja venia algo maltratada por fuera."
514,3,16,40,2,2024-01-15,El Samsung The Frame llego tres dias despues de la fecha estimada sin ninguna notificacion previa del retraso. Cuando escribi a soporte recien me confirmaron el nuevo tiempo de entrega.
539,2,37,29,2,2024-01-11,"Los audifonos Sennheiser llegaron con la caja exterior humeda, parece que estuvo expuesta a lluvia durante el transporte. El producto en si no sufrio dano."
502,1,84,48,5,2026-02-09,"Despues de meses de uso, sigo muy conforme con mis HyperX Cloud II, volveria a comprar la marca."
478,1,84,78,4,2025-01-23,"El hervidor Xiaomi fue facil de configurar con la app, en minutos ya lo estaba usando."
454,1,84,18,5,2024-01-07,"Mi Acer Aspire 5 llego en dos dias habiles, muy bien empacada y sin ningun golpe."
