id,codigo,nombre,categoria,subcategoria,precio,stock,rating_promedio,total_resenas
73,PROD-073,Xiaomi Robot Vacuum X10+,Electrodomesticos Inteligentes,Robots Aspiradora,1899,10,4.3,4
74,PROD-074,iRobot Roomba 694,Electrodomesticos Inteligentes,Robots Aspiradora,1499,14,2.8,5
75,PROD-075,Philips Hue White and Color Kit de Inicio,Electrodomesticos Inteligentes,Iluminacion Inteligente,599,20,4,3
76,PROD-076,TP-Link Tapo C220,Electrodomesticos Inteligentes,Seguridad Inteligente,219,30,3.7,3
77,PROD-077,Ring Video Doorbell Wired,Electrodomesticos Inteligentes,Seguridad Inteligente,399,22,2.3,4
78,PROD-078,Xiaomi Mi Smart Kettle Pro,Electrodomesticos Inteligentes,Cocina Inteligente,249,25,4,2
79,PROD-079,Instant Pot Duo 7 en 1,Electrodomesticos Inteligentes,Cocina Inteligente,449,18,4.5,4
80,PROD-080,Samsung Family Hub Refrigeradora Inteligente,Electrodomesticos Inteligentes,Linea Blanca Inteligente,12999,3,3.3,4
81,PROD-081,Logitech MX Master 3S,Accesorios y Componentes,Perifericos,399,28,5,3
82,PROD-082,Anker 737 Power Bank 24000mAh,Accesorios y Componentes,Cargadores y Baterias,349,30,4.3,4
83,PROD-083,Anker PowerLine III Cable USB-C,Accesorios y Componentes,Cables y Adaptadores,59,80,4,2
84,PROD-084,Kingston NV2 SSD NVMe 1TB,Accesorios y Componentes,Almacenamiento,249,35,4,4
85,PROD-085,Samsung T7 SSD Portatil 1TB,Accesorios y Componentes,Almacenamiento,399,24,3.8,4
86,PROD-086,SanDisk Extreme microSD 256GB,Accesorios y Componentes,Almacenamiento,129,50,3.3,3
87,PROD-087,Corsair Vengeance 16GB DDR4 3200MHz,Accesorios y Componentes,Componentes PC,249,30,3.8,4
88,PROD-088,WD Blue 2TB HDD,Accesorios y Componentes,Almacenamiento,249,26,3,4
89,PROD-089,Belkin Cargador USB-C 30W,Accesorios y Componentes,Cargadores y Baterias,89,45,4.5,2
90,PROD-090,Logitech C920 Webcam HD Pro,Accesorios y Componentes,Perifericos,279,20,4.7,3
